"location","duration","EffectSize","pvalue","att_estimator","ScaledL2Imbalance","power"
"market_017, market_022",14,-0.05,0,-46.7021726294348,0.711495547591412,1
"market_017, market_024",14,-0.05,0,-44.4388267325593,0.626220194734299,1
"market_018, market_023",14,-0.05,0,-42.6988453679266,0.860571439227558,1
"market_020, market_023",14,-0.05,0,-39.0266828057512,0.96923148259381,1
"market_021, market_024",14,-0.05,0,-23.8858275096813,0.854881927882476,1
"market_023, market_024",14,-0.05,0,-48.9377249712633,0.604794034620171,1
"market_001, market_017",14,0,0.123,0.609966664032981,0.628032879950209,0
"market_002, market_007",14,0,0.869,2.81418253194222,0.87062563696781,0
"market_003, market_012",14,0,0.455,1.88749765114725,0.889417735591425,0
"market_004, market_024",14,0,0.837,6.0090142480734,0.887552374015619,0
"market_005, market_024",14,0,0.421,2.7291982204784,0.713655675307531,0
"market_006, market_023",14,0,0.347,-8.92833712872276,0.862770113309206,0
"market_007, market_011",14,0,0.031,3.59242181014562,0.938015718255742,1
"market_007, market_024",14,0,0.357,4.07333177385707,0.705055068418675,0
"market_008, market_024",14,0,0.921,5.09347199868859,0.735631060900326,0
"market_009, market_024",14,0,0.423,-3.19319650145176,0.849429433855722,0
"market_010, market_023",14,0,0.99,-0.579834462526508,0.724028303738123,0
"market_012, market_017",14,0,0.599,1.43703472539749,0.630694822440194,0
"market_013, market_023",14,0,0.348,-3.0869362014121,0.93704758042979,0
"market_014, market_023",14,0,0.997,-0.489228808541546,0.91461899874683,0
"market_015, market_017",14,0,0.181,-1.57550113021015,0.745155799758608,0
"market_016, market_024",14,0,0.766,-1.26032270308627,0.849520408230055,0
"market_017, market_019",14,0,0.357,-7.79966385487465,0.665269905661065,0
"market_017, market_022",14,0,0.363,-2.94681548657757,0.711495547591412,0
"market_017, market_024",14,0,0.533,-0.0084695897020148,0.626220194734299,0
"market_018, market_023",14,0,0.501,-9.70063108221231,0.860571439227558,0
"market_020, market_023",14,0,0.084,-9.92846852003692,0.96923148259381,1
